ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
sF2jmVj9ugo,12/06/2026,https://www.youtube.com/watch?v=sF2jmVj9ugo,Ministério do Planejamento: Entrevista com o aprovado (e professor do Estratégia) Alexandre Baêta,Videos,NA,EstrategiaConcursosBrasil_Parte_2,Sucesso,2026-06-23
feRYVemOCio,11/06/2026,https://www.youtube.com/watch?v=feRYVemOCio,"DEGASE RJ: Gabriel Almeida, aprovado em 1º lugar para Agente de Segurança Socioeducativo",Videos,NA,EstrategiaConcursosBrasil_Parte_2,Sucesso,2026-06-23
IcL0FQKjjcw,11/06/2026,https://www.youtube.com/watch?v=IcL0FQKjjcw,"Sefaz-SP: Conheça Raphael Paixão, aprovado para Auditor Fiscal - Gestão Tributária",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
OdpU7-3YztQ,10/06/2026,https://www.youtube.com/watch?v=OdpU7-3YztQ,"CGE-PE: Conheça Pedro Henrique, aprovado para Gestor Governamental - Finanças Públicas",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
1aZM8W5FafY,10/06/2026,https://www.youtube.com/watch?v=1aZM8W5FafY,Concurso Sefaz RN: André Feijó - 7º lugar para Auditor Fiscal,Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
0B4stGzX4_A,09/06/2026,https://www.youtube.com/watch?v=0B4stGzX4_A,"SEFAZ SP: Conheça Bernardo Mendes, aprovado em 33º lugar para Auditor Fiscal",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
R58KYzgW_Gg,09/06/2026,https://www.youtube.com/watch?v=R58KYzgW_Gg,"SEFAZ SP: Conheça Giovanna Ferrari, aprovada em 57º lugar para Auditor Fiscal",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
uaCSLuylyU0,08/06/2026,https://www.youtube.com/watch?v=uaCSLuylyU0,"Comando da Aeronáutica: Conheça Sinara Barreto, aprovada em 2º lugar para o cargo de Contador",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
1qhVnYjjfM4,08/06/2026,https://www.youtube.com/watch?v=1qhVnYjjfM4,"DEGASE RJ: Conheça Thiago Cleyton, aprovado para Agente Administrativo",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
WGvlUNDFYy0,07/06/2026,https://www.youtube.com/watch?v=WGvlUNDFYy0,"SEFAZ PR: Conheça Ana Vitoria Lopes, aprovada em 6°lugar para Agente Fazendário Estadual",Videos,NA,EstrategiaConcursosBrasil_Parte_3,Sucesso,2026-06-23
