ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
j2q8YW8UOc0,23/06/2026,https://www.youtube.com/watch?v=j2q8YW8UOc0,O MERCADO NÃO GOSTOU DA DECISÃO DO BANCO CENTRAL,Videos,NA,investidorsardinha_Parte_1,Sucesso,2026-06-23
CMawPwARMso,22/06/2026,https://www.youtube.com/watch?v=CMawPwARMso,Como investir de maneira segura para ter a rentabilidade aumentada,Videos,NA,investidorsardinha_Parte_1,Sucesso,2026-06-23
DWv0oxhwVZc,21/06/2026,https://www.youtube.com/watch?v=DWv0oxhwVZc,"Petróleo desaba, Bitcoin sobe mas ações brasileiras DERRETEM após reviravolta histórica",Videos,NA,investidorsardinha_Parte_1,Sucesso,2026-06-23
bOEmfru9qTQ,19/06/2026,https://www.youtube.com/watch?v=bOEmfru9qTQ,ONDE DEIXAR SUA RESERVA DE EMERGÊNCIA?,Videos,NA,investidorsardinha_Parte_1,Sucesso,2026-06-23
uRrxDA9kOHY,18/06/2026,https://www.youtube.com/watch?v=uRrxDA9kOHY,"SELIC A 14,25%: O BRASIL ESTÁ TRAVANDO",Videos,NA,investidorsardinha_Parte_1,Sucesso,2026-06-23
