ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
TbDu4fdbuq4,23/06/2026,https://www.youtube.com/watch?v=TbDu4fdbuq4,PRODUTO vs PROJETO: a diferença que muda tudo —  como construir uma CARREIRA em PRODUTO,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
NGlqEHO7uLY,11/06/2026,https://www.youtube.com/watch?v=NGlqEHO7uLY,AUTOMAÇÃO com CLAUDE COWORK + PYTHON: Como usar IA para fazer slides de apresentação de relatório,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
5rpGbxMPcJ0,10/06/2026,https://www.youtube.com/watch?v=5rpGbxMPcJ0,"IA foi MELHOR que professores de direito em 75% dos casos, de acordo com pesquisa de Stanford",Videos,NA,alura_Parte_1,Sucesso,2026-06-23
37Z-U2_OKEk,10/06/2026,https://www.youtube.com/watch?v=37Z-U2_OKEk,Martin Scorsese se tornou SÓCIO de um laboratório de IA e NÃO É PARA GERAR FILMES,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
2Jc2OnYofhs,10/06/2026,https://www.youtube.com/watch?v=2Jc2OnYofhs,O RELATÓRIO DA ANTHROPIC que pediu PAUSA GLOBAL DE IA porque estão chegando perto do ponto sem volta,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
c4-ZDHSihXA,10/06/2026,https://www.youtube.com/watch?v=c4-ZDHSihXA,Alura • Filme Doc,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
ZUbKXOCyUzM,10/06/2026,https://www.youtube.com/watch?v=ZUbKXOCyUzM,"De CIENTISTA DE DADOS a GERENTE DE IA na STONE: a trajetória de Mariele por Serasa, Itaú e Natura",Videos,NA,alura_Parte_1,Sucesso,2026-06-23
AFsmmNIKiDg,03/06/2026,https://www.youtube.com/watch?v=AFsmmNIKiDg,Ela AUTOMATIZOU um relatório diário e GANHOU 2 DIAS ÚTEIS POR MÊS com POWER AUTOMATE,Videos,NA,alura_Parte_1,Sucesso,2026-06-23
