ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
9MyiAD1wx_8,01/06/2026,https://www.youtube.com/watch?v=9MyiAD1wx_8,Vacinas e imunoterapias no melanoma | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
tADJ3F6pD-4,01/06/2026,https://www.youtube.com/watch?v=tADJ3F6pD-4,As novas evidências da GLP-1 e do câncer | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
08JZ61aX7JE,01/06/2026,https://www.youtube.com/watch?v=08JZ61aX7JE,Impacto das mudanças climáticas no tratamento de pacientes oncológicos | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
_TVNPRwMRr0,01/06/2026,https://www.youtube.com/watch?v=_TVNPRwMRr0,Avanços no câncer de cabeça e pescoço | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
UL_VhrMtZZs,01/06/2026,https://www.youtube.com/watch?v=UL_VhrMtZZs,Estratégia perioperatória para câncer de próstata de alto risco | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
IzKm2ZJ0ptw,01/06/2026,https://www.youtube.com/watch?v=IzKm2ZJ0ptw,Nova terapia-alvo no câncer de pâncreas metastático | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
1Rhl4Z2qRYM,01/06/2026,https://www.youtube.com/watch?v=1Rhl4Z2qRYM,O que se aprende na faculdade de Administração?,Videos,,einstein_Parte_3,Sucesso,2026-06-23
JBztgu6Ee54,31/05/2026,https://www.youtube.com/watch?v=JBztgu6Ee54,Terapia adjuvante no câncer de pulmão RET+ | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
kI6o3NvKmPg,31/05/2026,https://www.youtube.com/watch?v=kI6o3NvKmPg,Nova terapia para lipossarcoma avançado | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
sU2VyNWeOSU,31/05/2026,https://www.youtube.com/watch?v=sU2VyNWeOSU,Avanços no tratamento sistêmico do tumor desmoide | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
B0BQfdnrLGo,31/05/2026,https://www.youtube.com/watch?v=B0BQfdnrLGo,Custo-efetividade e qualidade de vida do paciente oncológico | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
yKVLOT5oreo,31/05/2026,https://www.youtube.com/watch?v=yKVLOT5oreo,Novo tratamento para condrossarcoma | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
8CCLY_mjVe8,31/05/2026,https://www.youtube.com/watch?v=8CCLY_mjVe8,Timing cirúrgico no câncer de ovário avançado | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
STyGt0mtsX8,31/05/2026,https://www.youtube.com/watch?v=STyGt0mtsX8,Novos dados em sarcoma alveolar de partes moles | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
